year,age
1964,113.641095890411
1965,110.156164383562
1966,110.082191780822
1968,111.484931506849
1969,111.605479452055
1970,112.002739726027
1973,112.698630136986
1975,112.252054794521
1976,113.358904109589
1977,111.498630136986
1978,111.802739726027
1981,113.852054794521
1982,113.295890410959
1983,113.495890410959
1985,114.684931506849
1986,115.293150684932
1987,114.643835616438
1988,114.328767123288
1997,122.531506849315
1998,117.706849315069
1999,119.342465753425
2000,115.060273972603
2001,115.191780821918
2002,114.608219178082
2003,114.591780821918
2004,114.819178082192
2006,117.027397260274
2007,115.504109589041
2008,115.679452054795
2009,115.509589041096
2010,115.054794520548
2011,115.024657534247
2012,115.780821917808
2013,116.224657534247
2015,117.150684931507
2016,116.528767123288
2017,117.597260273973
2018,117.791780821918
2019,116.246575342
2020,115.126027397


