code,region,year,age
WLD,World,1964,56.0133591041271
WLD,World,1965,55.8380224044149
WLD,World,1966,56.3722200587999
WLD,World,1967,56.7715414589509
WLD,World,1968,57.2082881605791
WLD,World,1969,57.5187514828398
WLD,World,1970,57.8247558223699
WLD,World,1971,57.9509189332812
WLD,World,1972,58.7869663288077
WLD,World,1973,59.2920743258102
WLD,World,1974,59.7181892327418
WLD,World,1975,60.1736502416523
WLD,World,1976,60.63261402417
WLD,World,1977,61.124720752686
WLD,World,1978,61.480960001216
WLD,World,1979,61.8972423419025
WLD,World,1980,62.2248531940153
WLD,World,1981,62.6009101882942
WLD,World,1982,62.9643223141419
WLD,World,1983,63.2081381522032
WLD,World,1984,63.5133035417391
WLD,World,1985,63.8066765931182
WLD,World,1986,64.2023463399437
WLD,World,1987,64.506734743033
WLD,World,1988,64.6789039520942
WLD,World,1989,65.0167690836887
WLD,World,1990,65.1808796624838
WLD,World,1991,65.337919082475
WLD,World,1992,65.5901021392447
WLD,World,1993,65.7732337048224
WLD,World,1994,66.0173965495148
WLD,World,1995,66.2083677233336
WLD,World,1996,66.4725491118236
WLD,World,1997,66.8222556476639
WLD,World,1998,67.0913396919367
WLD,World,1999,67.3865351903547
WLD,World,2000,67.7000539909611
WLD,World,2001,68.0517994440513
WLD,World,2002,68.3303792550475
WLD,World,2003,68.6068105584819
WLD,World,2004,68.8616998205134
WLD,World,2005,69.1983927865475
WLD,World,2006,69.5701872619302
WLD,World,2007,69.8352684270094
WLD,World,2008,70.0060834738127
WLD,World,2009,70.4013777262966
WLD,World,2010,70.6706171214748
WLD,World,2011,71.0078570150227
WLD,World,2012,71.2840693211947
WLD,World,2013,71.5774122240715
WLD,World,2014,71.8814539452704
WLD,World,2015,72.0955006895748
WLD,World,2016,72.3452214183265
WLD,World,2017,72.5430440656125
WLD,World,2018,72.7852368373675
WLD,World,2019,72.9768498650731
WLD,World,2020,72.2650112702741
