Age,M,F
0-4,58663972,54385165
5-9,61777518,56602469
10-14,65116605,59187293
15-19,66321372,60169667
20-24,67032649,60693928
25-29,64207310,58266240
30-34,60411250,55800866
35-39,56233065,52275115
40-44,49836709,46559969
45-49,43593628,41341580
50-54,37760084,36310896
55-59,31842839,31102674
60-64,26031286,26069396
65-69,20185255,20772739
70-74,13931999,14786861
75-79,7513995,8795238
80-84,3977189,5148977
85-89,1713863,2454947
90-94,558356,836592
95-99,125846,189203
100+,16738,26310
