Age,M,F
0-4,222727370,213290901
5-9,194061089,186120893
10-14,159491032,152569297
15-19,131584978,126100187
20-24,126125905,121399712
25-29,114664383,111038506
30-34,105621193,103409174
35-39,90083765,92158925
40-44,74822993,76576573
45-49,71093923,74373278
50-54,62335388,65951111
55-59,51533181,56075677
60-64,39280266,45161234
65-69,27925358,34339455
70-74,19163619,25221670
75-79,10793325,15320367
80-84,5056247,7749234
85-89,1735250,2925101
90-94,384311,758132
95-99,55532,134689
100+,5409,14789
