IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0001,,,,,,0.000 1,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0001,,,,,,0.000 1,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,MLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,1-4 years,AGE1-4,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,MLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,MLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,MLE,Age Group,5-9 years,AGE5-9,,,,,,,0.0002,,,,,,0.000 2,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,MLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0003,,,,,,0.000 3,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,FMLE,Age Group,20-24 years,AGE20-24,,,,,,,0.0003,,,,,,0.000 3,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,MLE,Age Group,1-4 years,AGE1-4,,,,,,,0.0003,,,,,,0.000 3,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,FMLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0003,,,,,,0.000 3,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,MLE,Age Group,10-14 years,AGE10-14,,,,,,,0.0003,,,,,,0.000 3,,,EN,2020-12-05T23:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,FMLE,Age Group,15-19  years,AGE15-19,,,,,,,0.0004,,,,,,0.000 4,,,EN,2020-12-05T23:00:00.000Z
