Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,0,1,0.16886,0.15216,100000,15216,90110,4810989,48.11,48.15
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,1,4,0.01859,0.07089,84784,6010,323222,4720879,55.68,55.73
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,5,5,0.00359,0.01779,78774,1401,390368,4397658,55.83,55.83
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,10,5,0.00212,0.01055,77373,816,384825,4007290,51.79,51.79
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,15,5,0.003,0.01488,76557,1139,379938,3622465,47.32,47.32
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,20,5,0.00447,0.0221,75418,1667,372922,3242528,42.99,42.99
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,25,5,0.00594,0.02929,73751,2160,363355,2869605,38.91,38.91
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,30,5,0.0073,0.03583,71591,2565,351542,2506250,35.01,35.01
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,35,5,0.00866,0.04238,69026,2925,337818,2154708,31.22,31.22
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,40,5,0.0104,0.05068,66101,3350,322130,1816890,27.49,27.49
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,45,5,0.01348,0.06521,62751,4092,303525,1494760,23.82,23.82
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,50,5,0.01822,0.08711,58659,5110,280520,1191235,20.31,20.31
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,55,5,0.02492,0.11729,53549,6281,252042,910715,17.01,17.01
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,60,5,0.03585,0.16451,47268,7776,216900,658673,13.93,13.93
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,65,5,0.05175,0.22911,39492,9048,174840,441773,11.19,11.19
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,70,5,0.0767,0.3218,30444,9797,127728,266933,8.77,8.77
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,75,5,0.1151,0.44689,20647,9227,80168,139205,6.74,6.74
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,80,5,0.16791,0.59133,11420,6753,40218,59038,5.17,5.17
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,85,5,0.23281,0.7358,4667,3434,14750,18820,4.03,4.03
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,90,5,0.29514,0.84915,1233,1047,3548,4070,3.3,3.31
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,95,5,0.3403,0.91935,186,171,502,523,2.81,2.84
BRA,0,0,0,0,1,4000.15,1950,1950,4,1,100,99,0.74291,1,15,15,20,20,1.35,1.7
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,0,1,0.14246,0.13039,100000,13039,91525,5186146,51.86,51.91
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,1,4,0.01582,0.06075,86961,5283,333902,5094622,58.59,58.62
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,5,5,0.0031,0.01539,81678,1257,405248,4760720,58.29,58.29
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,10,5,0.00188,0.00938,80421,754,400220,4355472,54.16,54.16
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,15,5,0.00266,0.01322,79667,1053,395702,3955252,49.65,49.65
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,20,5,0.00398,0.01969,78614,1548,389200,3559550,45.28,45.28
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,25,5,0.00531,0.02619,77066,2018,380285,3170350,41.14,41.14
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,30,5,0.00654,0.03219,75048,2416,369200,2790065,37.18,37.18
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,35,5,0.00781,0.03832,72632,2783,356202,2420865,33.33,33.33
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,40,5,0.00937,0.04576,69849,3196,341255,2064662,29.56,29.56
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,45,5,0.0116,0.05637,66653,3757,323872,1723407,25.86,25.86
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,50,5,0.01504,0.07245,62896,4557,303088,1399535,22.25,22.25
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,55,5,0.02042,0.09712,58339,5666,277530,1096447,18.79,18.79
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,60,5,0.02882,0.1344,52673,7079,245668,818917,15.55,15.55
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,65,5,0.04179,0.18917,45594,8625,206408,573250,12.57,12.57
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,70,5,0.06146,0.26636,36969,9847,160228,366842,9.92,9.92
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,75,5,0.09256,0.37582,27122,10193,110128,206615,7.62,7.62
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,80,5,0.14594,0.53464,16929,9051,62018,96487,5.7,5.7
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,85,5,0.20969,0.68786,7878,5419,25842,34470,4.38,4.38
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,90,5,0.27416,0.81334,2459,2000,7295,8627,3.51,3.51
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,95,5,0.32713,0.89978,459,413,1262,1332,2.9,2.93
BRA,0,0,0,0,1,4000.15,1950,1950,4,2,100,99,0.66115,1,46,46,70,70,1.51,1.8
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,0,1,0.1392,0.12765,100000,12765,91703,5252001,52.52,52.55
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,1,4,0.01508,0.05799,87235,5059,335544,5160298,59.15,59.19
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,5,5,0.00288,0.0143,82176,1175,407942,4824754,58.71,58.71
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,10,5,0.00162,0.00809,81001,655,403368,4416812,54.53,54.53
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,15,5,0.00229,0.0114,80346,916,399440,4013444,49.95,49.95
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,20,5,0.00343,0.01701,79430,1351,393772,3614004,45.5,45.5
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,25,5,0.00457,0.02259,78079,1764,385985,3220232,41.24,41.24
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,30,5,0.00561,0.02766,76315,2111,376298,2834247,37.14,37.14
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,35,5,0.00668,0.03283,74204,2436,364930,2457949,33.12,33.12
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,40,5,0.00806,0.03949,71768,2834,351755,2093019,29.16,29.16
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,45,5,0.01063,0.05179,68934,3570,335745,1741264,25.26,25.26
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,50,5,0.01508,0.07267,65364,4750,314945,1405519,21.5,21.5
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,55,5,0.02137,0.10141,60614,6147,287702,1090574,17.99,17.99
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,60,5,0.03137,0.14546,54467,7923,252528,802872,14.74,14.74
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,65,5,0.04629,0.20746,46544,9656,208580,550344,11.82,11.82
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,70,5,0.06967,0.29668,36888,10944,157080,341764,9.26,9.27
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,75,5,0.10557,0.41763,25944,10835,102632,184684,7.12,7.12
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,80,5,0.15653,0.56251,15109,8499,54298,82052,5.43,5.43
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,85,5,0.22102,0.7118,6610,4705,21288,27754,4.2,4.2
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,90,5,0.28525,0.83255,1905,1586,5560,6467,3.39,3.4
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,95,5,0.33545,0.91223,319,291,868,907,2.84,2.88
BRA,0,0,0,0,1,4000.16,1960,1960,4,1,100,99,0.71497,1,28,28,39,39,1.4,1.8
BRA,0,0,0,0,1,4000.16,1960,1960,4,2,0,1,0.11303,0.10529,100000,10529,93156,5623171,56.23,56.25
BRA,0,0,0,0,1,4000.16,1960,1960,4,2,1,4,0.01232,0.04771,89471,4269,346618,5530015,61.81,61.84
BRA,0,0,0,0,1,4000.16,1960,1960,4,2,5,5,0.00245,0.01217,85202,1037,423418,5183396,60.84,60.84
BRA,0,0,0,0,1,4000.16,1960,1960,4,2,10,5,0.00154,0.00766,84165,645,419212,4759979,56.56,56.56
BRA,0,0,0,0,1,4000.16,1960,1960,4,2,15,5,0.00217,0.0108,83520,902,415345,4340766,51.97,51.97
BRA,0,0,0,0,1,4000.16,1960,1960,4,2,20,5,0.00326,0.01615,82618,1334,409755,3925421,47.51,47.51
BRA,0,0,0,0,1,4000.16,1960,1960,4,2,25,5,0.00436,0.02154,81284,1751,402042,3515666,43.25,43.25
BRA,0,0,0,0,1,4000.16,1960,1960,4,2,30,5,0.00537,0.02649,79533,2107,392398,3113624,39.15,39.15
