Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
DNK,0,0,0,0,1,297.8,1901,1905,1,1,0,1,0.14288,0.13074,100000,13074,91502,5293918,52.94,52.9
DNK,0,0,0,0,1,297.8,1901,1905,1,1,1,1,0.01977,0.01958,86926,1702,86075,5202416,59.85,59.8
DNK,0,0,0,0,1,297.8,1901,1905,1,1,2,1,0.00795,0.00792,85224,675,84886,5116341,60.03,60
DNK,0,0,0,0,1,297.8,1901,1905,1,1,3,1,0.00586,0.00584,84549,494,84302,5031454,59.51,59.5
DNK,0,0,0,0,1,297.8,1901,1905,1,1,4,1,0.00434,0.00433,84055,364,83873,4947152,58.86,58.9
DNK,0,0,0,0,1,297.8,1901,1905,1,1,5,1,0.00377,0.00376,83691,315,83534,4863279,58.11,58.1
DNK,0,0,0,0,1,297.8,1901,1905,1,1,6,1,0.0034,0.00339,83376,283,83234,4779746,57.33,57.3
DNK,0,0,0,0,1,297.8,1901,1905,1,1,7,1,0.00304,0.00303,83093,252,82967,4696511,56.52,56.5
DNK,0,0,0,0,1,297.8,1901,1905,1,1,8,1,0.00277,0.00276,82841,229,82726,4613544,55.69,55.7
DNK,0,0,0,0,1,297.8,1901,1905,1,1,9,1,0.00256,0.00255,82612,211,82506,4530818,54.84,54.8
DNK,0,0,0,0,1,297.8,1901,1905,1,1,10,1,0.00239,0.00239,82401,197,82302,4448311,53.98,54
DNK,0,0,0,0,1,297.8,1901,1905,1,1,11,1,0.00231,0.00231,82204,190,82109,4366009,53.11,53.1
DNK,0,0,0,0,1,297.8,1901,1905,1,1,12,1,0.00231,0.0023,82014,189,81920,4283900,52.23,52.2
DNK,0,0,0,0,1,297.8,1901,1905,1,1,13,1,0.00234,0.00233,81825,191,81730,4201980,51.35,51.4
DNK,0,0,0,0,1,297.8,1901,1905,1,1,14,1,0.00255,0.00255,81634,208,81530,4120251,50.47,50.5
DNK,0,0,0,0,1,297.8,1901,1905,1,1,15,1,0.00294,0.00294,81426,239,81306,4038721,49.6,49.6
DNK,0,0,0,0,1,297.8,1901,1905,1,1,16,1,0.00324,0.00324,81187,263,81056,3957414,48.74,48.7
DNK,0,0,0,0,1,297.8,1901,1905,1,1,17,1,0.00344,0.00344,80924,278,80785,3876359,47.9,47.9
DNK,0,0,0,0,1,297.8,1901,1905,1,1,18,1,0.00364,0.00363,80646,293,80500,3795574,47.06,47.1
DNK,0,0,0,0,1,297.8,1901,1905,1,1,19,1,0.0039,0.0039,80353,313,80196,3715074,46.23,46.2
DNK,0,0,0,0,1,297.8,1901,1905,1,1,20,1,0.00427,0.00426,80040,341,79870,3634878,45.41,45.4
DNK,0,0,0,0,1,297.8,1901,1905,1,1,21,1,0.00462,0.0046,79699,367,79516,3555008,44.61,44.6
DNK,0,0,0,0,1,297.8,1901,1905,1,1,22,1,0.00486,0.00485,79332,385,79140,3475493,43.81,43.8
DNK,0,0,0,0,1,297.8,1901,1905,1,1,23,1,0.00503,0.00502,78947,396,78749,3396353,43.02,43
DNK,0,0,0,0,1,297.8,1901,1905,1,1,24,1,0.00495,0.00494,78551,388,78357,3317604,42.24,42.2
DNK,0,0,0,0,1,297.8,1901,1905,1,1,25,1,0.00465,0.00464,78163,363,77982,3239247,41.44,41.4
DNK,0,0,0,0,1,297.8,1901,1905,1,1,26,1,0.00453,0.00452,77800,352,77624,3161266,40.63,40.6
DNK,0,0,0,0,1,297.8,1901,1905,1,1,27,1,0.00459,0.00458,77448,355,77270,3083642,39.82,39.8
DNK,0,0,0,0,1,297.8,1901,1905,1,1,28,1,0.00463,0.00462,77093,356,76915,3006371,39,39
DNK,0,0,0,0,1,297.8,1901,1905,1,1,29,1,0.00481,0.0048,76737,368,76553,2929456,38.18,38.2
DNK,0,0,0,0,1,297.8,1901,1905,1,1,30,1,0.00507,0.00505,76369,386,76176,2852903,37.36,37.4
DNK,0,0,0,0,1,297.8,1901,1905,1,1,31,1,0.00524,0.00522,75983,397,75784,2776727,36.54,36.5
DNK,0,0,0,0,1,297.8,1901,1905,1,1,32,1,0.00541,0.0054,75586,408,75382,2700943,35.73,35.7
DNK,0,0,0,0,1,297.8,1901,1905,1,1,33,1,0.00566,0.00564,75178,424,74966,2625561,34.92,34.9
DNK,0,0,0,0,1,297.8,1901,1905,1,1,34,1,0.00586,0.00585,74754,437,74536,2550595,34.12,34.1
DNK,0,0,0,0,1,297.8,1901,1905,1,1,35,1,0.00607,0.00606,74317,450,74092,2476059,33.32,33.3
DNK,0,0,0,0,1,297.8,1901,1905,1,1,36,1,0.00634,0.00632,73867,467,73634,2401967,32.52,32.5
DNK,0,0,0,0,1,297.8,1901,1905,1,1,37,1,0.0066,0.00658,73400,483,73158,2328334,31.72,31.7
DNK,0,0,0,0,1,297.8,1901,1905,1,1,38,1,0.00691,0.00688,72917,502,72666,2255175,30.93,30.9
DNK,0,0,0,0,1,297.8,1901,1905,1,1,39,1,0.00742,0.00739,72415,535,72148,2182509,30.14,30.1
DNK,0,0,0,0,1,297.8,1901,1905,1,1,40,1,0.00798,0.00794,71880,571,71594,2110362,29.36,29.4
DNK,0,0,0,0,1,297.8,1901,1905,1,1,41,1,0.00828,0.00825,71309,588,71015,2038767,28.59,28.6
DNK,0,0,0,0,1,297.8,1901,1905,1,1,42,1,0.00852,0.00848,70721,600,70421,1967752,27.82,27.8
DNK,0,0,0,0,1,297.8,1901,1905,1,1,43,1,0.00878,0.00874,70121,613,69814,1897331,27.06,27.1
DNK,0,0,0,0,1,297.8,1901,1905,1,1,44,1,0.00915,0.00911,69508,633,69192,1827517,26.29,26.3
DNK,0,0,0,0,1,297.8,1901,1905,1,1,45,1,0.00979,0.00974,68875,671,68540,1758325,25.53,25.5
DNK,0,0,0,0,1,297.8,1901,1905,1,1,46,1,0.01032,0.01026,68204,700,67854,1689786,24.78,24.8
DNK,0,0,0,0,1,297.8,1901,1905,1,1,47,1,0.01084,0.01078,67504,728,67140,1621932,24.03,24
DNK,0,0,0,0,1,297.8,1901,1905,1,1,48,1,0.01146,0.0114,66776,761,66396,1554792,23.28,23.3
DNK,0,0,0,0,1,297.8,1901,1905,1,1,49,1,0.01218,0.0121,66015,799,65616,1488396,22.55,22.5
DNK,0,0,0,0,1,297.8,1901,1905,1,1,50,1,0.0129,0.01282,65216,836,64798,1422781,21.82,21.8
DNK,0,0,0,0,1,297.8,1901,1905,1,1,51,1,0.01375,0.01365,64380,879,63940,1357983,21.09,21.1
DNK,0,0,0,0,1,297.8,1901,1905,1,1,52,1,0.01464,0.01454,63501,923,63040,1294042,20.38,20.4
DNK,0,0,0,0,1,297.8,1901,1905,1,1,53,1,0.01559,0.01547,62578,968,62094,1231003,19.67,19.7
DNK,0,0,0,0,1,297.8,1901,1905,1,1,54,1,0.01668,0.01654,61610,1019,61100,1168909,18.97,19
DNK,0,0,0,0,1,297.8,1901,1905,1,1,55,1,0.01792,0.01776,60591,1076,60053,1107808,18.28,18.3
DNK,0,0,0,0,1,297.8,1901,1905,1,1,56,1,0.0192,0.01902,59515,1132,58949,1047755,17.6,17.6
DNK,0,0,0,0,1,297.8,1901,1905,1,1,57,1,0.02049,0.02028,58383,1184,57791,988806,16.94,16.9
DNK,0,0,0,0,1,297.8,1901,1905,1,1,58,1,0.02192,0.02168,57199,1240,56579,931015,16.28,16.3
DNK,0,0,0,0,1,297.8,1901,1905,1,1,59,1,0.02316,0.02289,55959,1281,55318,874436,15.63,15.6
DNK,0,0,0,0,1,297.8,1901,1905,1,1,60,1,0.02436,0.02407,54678,1316,54020,819118,14.98,15
DNK,0,0,0,0,1,297.8,1901,1905,1,1,61,1,0.02622,0.02588,53362,1381,52672,765098,14.34,14.3
DNK,0,0,0,0,1,297.8,1901,1905,1,1,62,1,0.02859,0.02818,51981,1465,51248,712426,13.71,13.7
DNK,0,0,0,0,1,297.8,1901,1905,1,1,63,1,0.03088,0.03041,50516,1536,49748,661178,13.09,13.1
DNK,0,0,0,0,1,297.8,1901,1905,1,1,64,1,0.03386,0.0333,48980,1631,48164,611430,12.48,12.5
DNK,0,0,0,0,1,297.8,1901,1905,1,1,65,1,0.03761,0.03692,47349,1748,46475,563265,11.9,11.9
DNK,0,0,0,0,1,297.8,1901,1905,1,1,66,1,0.04079,0.03998,45601,1823,44690,516790,11.33,11.3
