Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,0,1,0.16492,0.14895,100000,14895,90318,4277599,42.78,42.8
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,1,1,0.04574,0.04472,85105,3806,83202,4187281,49.2,49.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,2,1,0.03,0.02956,81299,2403,80098,4104079,50.48,50.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,3,1,0.02032,0.02012,78896,1587,78102,4023982,51,51
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,4,1,0.01394,0.01384,77309,1070,76774,3945879,51.04,51
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,5,1,0.01005,0.00999,76239,762,75858,3869105,50.75,50.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,6,1,0.00782,0.00779,75477,588,75183,3793247,50.26,50.3
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,7,1,0.00638,0.00636,74889,476,74651,3718064,49.65,49.6
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,8,1,0.00542,0.0054,74413,402,74212,3643413,48.96,49
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,9,1,0.00482,0.00481,74011,356,73833,3569201,48.23,48.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,10,1,0.00452,0.00451,73655,332,73489,3495368,47.46,47.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,11,1,0.00422,0.00421,73323,309,73168,3421879,46.67,46.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,12,1,0.00413,0.00412,73014,301,72864,3348711,45.86,45.9
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,13,1,0.00427,0.00426,72713,310,72558,3275847,45.05,45.1
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,14,1,0.00467,0.00465,72403,337,72234,3203289,44.24,44.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,15,1,0.00522,0.0052,72066,375,71878,3131055,43.45,43.4
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,16,1,0.00597,0.00596,71691,427,71478,3059176,42.67,42.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,17,1,0.00669,0.00667,71264,475,71026,2987699,41.92,41.9
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,18,1,0.0074,0.00737,70789,522,70528,2916672,41.2,41.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,19,1,0.00787,0.00784,70267,551,69992,2846144,40.5,40.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,20,1,0.00824,0.0082,69716,572,69430,2776153,39.82,39.8
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,21,1,0.00848,0.00845,69144,584,68852,2706723,39.15,39.1
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,22,1,0.0087,0.00866,68560,594,68263,2637871,38.48,38.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,23,1,0.00881,0.00877,67966,596,67668,2569608,37.81,37.8
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,24,1,0.00886,0.00882,67370,594,67073,2501940,37.14,37.1
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,25,1,0.00884,0.00881,66776,588,66482,2434867,36.46,36.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,26,1,0.0088,0.00876,66188,580,65898,2368385,35.78,35.8
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,27,1,0.00874,0.0087,65608,571,65322,2302487,35.09,35.1
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,28,1,0.00871,0.00867,65037,564,64755,2237164,34.4,34.4
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,29,1,0.00866,0.00862,64473,556,64195,2172409,33.69,33.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,30,1,0.00867,0.00864,63917,552,63641,2108214,32.98,33
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,31,1,0.0087,0.00866,63365,549,63090,2044573,32.27,32.3
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,32,1,0.00876,0.00872,62816,548,62542,1981483,31.54,31.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,33,1,0.0089,0.00886,62268,552,61992,1918941,30.82,30.8
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,34,1,0.00907,0.00903,61716,557,61438,1856949,30.09,30.1
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,35,1,0.00931,0.00927,61159,567,60876,1795511,29.36,29.4
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,36,1,0.0096,0.00956,60592,579,60302,1734636,28.63,28.6
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,37,1,0.00995,0.0099,60013,594,59716,1674333,27.9,27.9
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,38,1,0.01034,0.01028,59419,611,59114,1614617,27.17,27.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,39,1,0.01077,0.01071,58808,630,58493,1555504,26.45,26.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,40,1,0.01125,0.01119,58178,651,57852,1497011,25.73,25.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,41,1,0.01175,0.01168,57527,672,57191,1439158,25.02,25
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,42,1,0.01228,0.01221,56855,694,56508,1381967,24.31,24.3
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,43,1,0.01285,0.01277,56161,717,55802,1325459,23.6,23.6
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,44,1,0.01347,0.01338,55444,742,55073,1269657,22.9,22.9
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,45,1,0.01416,0.01406,54702,769,54318,1214584,22.2,22.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,46,1,0.01493,0.01481,53933,799,53534,1160266,21.51,21.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,47,1,0.01576,0.01564,53134,831,52718,1106733,20.83,20.8
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,48,1,0.0167,0.01656,52303,866,51870,1054014,20.15,20.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,49,1,0.01771,0.01756,51437,903,50986,1002144,19.48,19.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,50,1,0.01882,0.01864,50534,942,50063,951159,18.82,18.8
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,51,1,0.01998,0.01978,49592,981,49102,901096,18.17,18.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,52,1,0.02127,0.02104,48611,1023,48100,851994,17.53,17.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,53,1,0.02265,0.0224,47588,1066,47055,803895,16.89,16.9
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,54,1,0.02419,0.0239,46522,1112,45966,756840,16.27,16.3
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,55,1,0.0259,0.02557,45410,1161,44830,710874,15.65,15.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,56,1,0.02777,0.02739,44249,1212,43643,666044,15.05,15.1
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,57,1,0.02988,0.02944,43037,1267,42404,622401,14.46,14.5
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,58,1,0.03216,0.03165,41770,1322,41109,579998,13.89,13.9
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,59,1,0.03458,0.03399,40448,1375,39760,538889,13.32,13.3
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,60,1,0.03717,0.0365,39073,1426,38360,499128,12.77,12.8
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,61,1,0.03988,0.0391,37647,1472,36911,460768,12.24,12.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,62,1,0.04275,0.04185,36175,1514,35418,423857,11.72,11.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,63,1,0.0458,0.04478,34661,1552,33885,388439,11.21,11.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,64,1,0.04914,0.04796,33109,1588,32315,354554,10.71,10.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,65,1,0.05275,0.05139,31521,1620,30711,322239,10.22,10.2
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,66,1,0.05682,0.05525,29901,1652,29075,291528,9.75,9.7
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,67,1,0.06129,0.05947,28249,1680,27409,262453,9.29,9.3
JPN,0,0,0,0,1,1316.11,1891,1898,1,1,68,1,0.06618,0.06406,26569,1702,25718,235044,8.85,8.8
